Config,Grid Size,Obstacle Density,Algorithm,Heuristic,Weight,Found,Path Cost,Optimal Cost,Optimal?,Subopt Gap,Nodes Expanded,Nodes Reopened,Consistency Violations,Time (s),Seed
baseline,5x5,0.16,astar_scaled_w1.2,scaled,1.2,Yes,8.0,8.0,True,,9,0,11,2e-05,45
baseline,5x5,0.16,astar_scaled_w1.5,scaled,1.5,Yes,8.0,8.0,True,,9,0,11,2e-05,45
baseline,5x5,0.16,astar_scaled_w2.0,scaled,2.0,Yes,8.0,8.0,True,,9,0,11,2e-05,45
baseline,5x5,0.16,astar_scaled_w3.0,scaled,3.0,Yes,8.0,8.0,True,,9,0,11,2e-05,45
baseline,5x5,0.16,bfs,,,Yes,8.0,8.0,True,,21,0,0,2.9e-05,46
baseline,5x5,0.16,astar_zero,zero,,Yes,8.0,8.0,True,,21,0,0,4.3e-05,46
baseline,5x5,0.16,astar_manhattan,manhattan,,Yes,8.0,8.0,True,,20,0,0,4.9e-05,46
baseline,5x5,0.16,astar_inconsistent,inconsistent,,Yes,8.0,8.0,True,,20,0,3,4.9e-05,46
baseline,5x5,0.16,astar_scaled_w1.0,scaled,1.0,Yes,8.0,8.0,True,,20,0,0,4.5e-05,46
baseline,5x5,0.16,astar_scaled_w1.2,scaled,1.2,Yes,8.0,8.0,True,,9,0,12,2.1e-05,46
baseline,5x5,0.16,astar_scaled_w1.5,scaled,1.5,Yes,8.0,8.0,True,,9,0,12,2.1e-05,46
baseline,5x5,0.16,astar_scaled_w2.0,scaled,2.0,Yes,8.0,8.0,True,,9,0,12,2.1e-05,46
baseline,5x5,0.16,astar_scaled_w3.0,scaled,3.0,Yes,8.0,8.0,True,,9,0,12,2.1e-05,46
baseline,10x10,0.0,bfs,,,Yes,18.0,18.0,True,,100,0,0,0.000157,42
baseline,10x10,0.0,astar_zero,zero,,Yes,18.0,18.0,True,,100,0,0,0.000234,42
baseline,10x10,0.0,astar_manhattan,manhattan,,Yes,18.0,18.0,True,,100,0,0,0.000315,42
baseline,10x10,0.0,astar_inconsistent,inconsistent,,Yes,18.0,18.0,True,,100,0,4,0.000315,42
baseline,10x10,0.0,astar_scaled_w1.0,scaled,1.0,Yes,18.0,18.0,True,,100,0,0,0.000268,42
baseline,10x10,0.0,astar_scaled_w1.2,scaled,1.2,Yes,18.0,18.0,True,,19,0,27,5.7e-05,42
baseline,10x10,0.0,astar_scaled_w1.5,scaled,1.5,Yes,18.0,18.0,True,,19,0,27,5e-05,42
baseline,10x10,0.0,astar_scaled_w2.0,scaled,2.0,Yes,18.0,18.0,True,,19,0,27,4.6e-05,42
baseline,10x10,0.0,astar_scaled_w3.0,scaled,3.0,Yes,18.0,18.0,True,,19,0,27,5.5e-05,42
baseline,10x10,0.0,bfs,,,Yes,18.0,18.0,True,,100,0,0,0.000165,43
baseline,10x10,0.0,astar_zero,zero,,Yes,18.0,18.0,True,,100,0,0,0.00025,43
baseline,10x10,0.0,astar_manhattan,manhattan,,Yes,18.0,18.0,True,,100,0,0,0.000273,43
baseline,10x10,0.0,astar_inconsistent,inconsistent,,Yes,18.0,18.0,True,,100,0,4,0.000289,43
baseline,10x10,0.0,astar_scaled_w1.0,scaled,1.0,Yes,18.0,18.0,True,,100,0,0,0.000261,43
baseline,10x10,0.0,astar_scaled_w1.2,scaled,1.2,Yes,18.0,18.0,True,,19,0,27,4.9e-05,43
baseline,10x10,0.0,astar_scaled_w1.5,scaled,1.5,Yes,18.0,18.0,True,,19,0,27,4.7e-05,43
baseline,10x10,0.0,astar_scaled_w2.0,scaled,2.0,Yes,18.0,18.0,True,,19,0,27,4.7e-05,43
baseline,10x10,0.0,astar_scaled_w3.0,scaled,3.0,Yes,18.0,18.0,True,,19,0,27,4.7e-05,43
baseline,10x10,0.0,bfs,,,Yes,18.0,18.0,True,,100,0,0,0.000155,44
baseline,10x10,0.0,astar_zero,zero,,Yes,18.0,18.0,True,,100,0,0,0.000235,44
baseline,10x10,0.0,astar_manhattan,manhattan,,Yes,18.0,18.0,True,,100,0,0,0.000259,44
baseline,10x10,0.0,astar_inconsistent,inconsistent,,Yes,18.0,18.0,True,,100,0,4,0.000286,44
baseline,10x10,0.0,astar_scaled_w1.0,scaled,1.0,Yes,18.0,18.0,True,,100,0,0,0.00026,44
baseline,10x10,0.0,astar_scaled_w1.2,scaled,1.2,Yes,18.0,18.0,True,,19,0,27,4.7e-05,44
baseline,10x10,0.0,astar_scaled_w1.5,scaled,1.5,Yes,18.0,18.0,True,,19,0,27,4.6e-05,44
baseline,10x10,0.0,astar_scaled_w2.0,scaled,2.0,Yes,18.0,18.0,True,,19,0,27,4.6e-05,44
baseline,10x10,0.0,astar_scaled_w3.0,scaled,3.0,Yes,18.0,18.0,True,,19,0,27,4.6e-05,44
baseline,10x10,0.0,bfs,,,Yes,18.0,18.0,True,,100,0,0,0.00016,45
baseline,10x10,0.0,astar_zero,zero,,Yes,18.0,18.0,True,,100,0,0,0.000234,45
baseline,10x10,0.0,astar_manhattan,manhattan,,Yes,18.0,18.0,True,,100,0,0,0.000275,45
baseline,10x10,0.0,astar_inconsistent,inconsistent,,Yes,18.0,18.0,True,,100,0,4,0.000301,45
baseline,10x10,0.0,astar_scaled_w1.0,scaled,1.0,Yes,18.0,18.0,True,,100,0,0,0.000258,45
baseline,10x10,0.0,astar_scaled_w1.2,scaled,1.2,Yes,18.0,18.0,True,,19,0,27,4.7e-05,45
baseline,10x10,0.0,astar_scaled_w1.5,scaled,1.5,Yes,18.0,18.0,True,,19,0,27,4.7e-05,45
baseline,10x10,0.0,astar_scaled_w2.0,scaled,2.0,Yes,18.0,18.0,True,,19,0,27,4.6e-05,45
baseline,10x10,0.0,astar_scaled_w3.0,scaled,3.0,Yes,18.0,18.0,True,,19,0,27,4.6e-05,45
baseline,10x10,0.0,bfs,,,Yes,18.0,18.0,True,,100,0,0,0.000155,46
baseline,10x10,0.0,astar_zero,zero,,Yes,18.0,18.0,True,,100,0,0,0.000236,46
baseline,10x10,0.0,astar_manhattan,manhattan,,Yes,18.0,18.0,True,,100,0,0,0.000259,46
baseline,10x10,0.0,astar_inconsistent,inconsistent,,Yes,18.0,18.0,True,,100,0,4,0.000307,46
baseline,10x10,0.0,astar_scaled_w1.0,scaled,1.0,Yes,18.0,18.0,True,,100,0,0,0.000274,46
baseline,10x10,0.0,astar_scaled_w1.2,scaled,1.2,Yes,18.0,18.0,True,,19,0,27,4.7e-05,46
baseline,10x10,0.0,astar_scaled_w1.5,scaled,1.5,Yes,18.0,18.0,True,,19,0,27,4.6e-05,46
baseline,10x10,0.0,astar_scaled_w2.0,scaled,2.0,Yes,18.0,18.0,True,,19,0,27,4.6e-05,46
baseline,10x10,0.0,astar_scaled_w3.0,scaled,3.0,Yes,18.0,18.0,True,,19,0,27,4.6e-05,46
baseline,10x10,0.09,bfs,,,Yes,18.0,18.0,True,,91,0,0,0.000136,42
baseline,10x10,0.09,astar_zero,zero,,Yes,18.0,18.0,True,,91,0,0,0.000206,42
baseline,10x10,0.09,astar_manhattan,manhattan,,Yes,18.0,18.0,True,,83,0,0,0.000213,42
baseline,10x10,0.09,astar_inconsistent,inconsistent,,Yes,18.0,18.0,True,,83,0,4,0.000234,42
baseline,10x10,0.09,astar_scaled_w1.0,scaled,1.0,Yes,18.0,18.0,True,,83,0,0,0.00021,42
baseline,10x10,0.09,astar_scaled_w1.2,scaled,1.2,Yes,18.0,18.0,True,,26,0,38,6.6e-05,42
baseline,10x10,0.09,astar_scaled_w1.5,scaled,1.5,Yes,18.0,18.0,True,,26,0,38,6.8e-05,42
baseline,10x10,0.09,astar_scaled_w2.0,scaled,2.0,Yes,20.0,18.0,False,2.0,21,0,30,5.1e-05,42
baseline,10x10,0.09,astar_scaled_w3.0,scaled,3.0,Yes,20.0,18.0,False,2.0,21,0,30,5.1e-05,42
baseline,10x10,0.09,bfs,,,Yes,18.0,18.0,True,,91,0,0,0.000135,43
baseline,10x10,0.09,astar_zero,zero,,Yes,18.0,18.0,True,,91,0,0,0.000205,43
baseline,10x10,0.09,astar_manhattan,manhattan,,Yes,18.0,18.0,True,,85,0,0,0.000217,43
baseline,10x10,0.09,astar_inconsistent,inconsistent,,Yes,18.0,18.0,True,,85,0,4,0.000298,43
baseline,10x10,0.09,astar_scaled_w1.0,scaled,1.0,Yes,18.0,18.0,True,,85,0,0,0.000232,43
baseline,10x10,0.09,astar_scaled_w1.2,scaled,1.2,Yes,18.0,18.0,True,,31,0,47,8.8e-05,43
baseline,10x10,0.09,astar_scaled_w1.5,scaled,1.5,Yes,20.0,18.0,False,2.0,21,0,29,6.2e-05,43
baseline,10x10,0.09,astar_scaled_w2.0,scaled,2.0,Yes,20.0,18.0,False,2.0,21,0,29,9.9e-05,43
baseline,10x10,0.09,astar_scaled_w3.0,scaled,3.0,Yes,20.0,18.0,False,2.0,21,0,29,5.6e-05,43
baseline,10x10,0.09,bfs,,,Yes,18.0,18.0,True,,90,0,0,0.000159,44
baseline,10x10,0.09,astar_zero,zero,,Yes,18.0,18.0,True,,90,0,0,0.000215,44
baseline,10x10,0.09,astar_manhattan,manhattan,,Yes,18.0,18.0,True,,89,0,0,0.00023,44
baseline,10x10,0.09,astar_inconsistent,inconsistent,,Yes,18.0,18.0,True,,89,0,4,0.00025,44
baseline,10x10,0.09,astar_scaled_w1.0,scaled,1.0,Yes,18.0,18.0,True,,89,0,0,0.000228,44
baseline,10x10,0.09,astar_scaled_w1.2,scaled,1.2,Yes,18.0,18.0,True,,19,0,27,4.9e-05,44
baseline,10x10,0.09,astar_scaled_w1.5,scaled,1.5,Yes,18.0,18.0,True,,19,0,27,4.7e-05,44
baseline,10x10,0.09,astar_scaled_w2.0,scaled,2.0,Yes,18.0,18.0,True,,19,0,27,4.8e-05,44
baseline,10x10,0.09,astar_scaled_w3.0,scaled,3.0,Yes,18.0,18.0,True,,19,0,27,4.8e-05,44
baseline,10x10,0.09,bfs,,,Yes,18.0,18.0,True,,91,0,0,0.000379,45
baseline,10x10,0.09,astar_zero,zero,,Yes,18.0,18.0,True,,91,0,0,0.000346,45
