Config,Grid Size,Obstacle Density,Algorithm,Heuristic,Found,Path Cost,Optimal Cost,Optimal?,Subopt Gap,Nodes Expanded,Nodes Reopened,Consistency Violations,Time (s),Seed
baseline,5x5,0.16,astar_inconsistent,inconsistent,Yes,8.0,8.0,True,,17,0,4,5.2e-05,43
baseline,5x5,0.16,astar_scaled_w1.5,scaled,Yes,8.0,8.0,True,,11,0,13,2.9e-05,43
baseline,5x5,0.16,bfs,,Yes,8.0,8.0,True,,20,0,0,3.2e-05,44
baseline,5x5,0.16,astar_zero,zero,Yes,8.0,8.0,True,,20,0,0,4.7e-05,44
baseline,5x5,0.16,astar_manhattan,manhattan,Yes,8.0,8.0,True,,20,0,0,5.1e-05,44
baseline,5x5,0.16,astar_inconsistent,inconsistent,Yes,8.0,8.0,True,,20,0,4,5.6e-05,44
baseline,5x5,0.16,astar_scaled_w1.5,scaled,Yes,8.0,8.0,True,,9,0,11,2.3e-05,44
baseline,5x5,0.16,bfs,,Yes,8.0,8.0,True,,20,0,0,3.2e-05,45
baseline,5x5,0.16,astar_zero,zero,Yes,8.0,8.0,True,,20,0,0,4.6e-05,45
baseline,5x5,0.16,astar_manhattan,manhattan,Yes,8.0,8.0,True,,20,0,0,5.2e-05,45
baseline,5x5,0.16,astar_inconsistent,inconsistent,Yes,8.0,8.0,True,,20,0,4,6.1e-05,45
baseline,5x5,0.16,astar_scaled_w1.5,scaled,Yes,8.0,8.0,True,,9,0,11,2.3e-05,45
baseline,5x5,0.16,bfs,,Yes,8.0,8.0,True,,21,0,0,4.2e-05,46
baseline,5x5,0.16,astar_zero,zero,Yes,8.0,8.0,True,,21,0,0,4.8e-05,46
baseline,5x5,0.16,astar_manhattan,manhattan,Yes,8.0,8.0,True,,20,0,0,5.2e-05,46
baseline,5x5,0.16,astar_inconsistent,inconsistent,Yes,8.0,8.0,True,,20,0,3,0.000182,46
baseline,5x5,0.16,astar_scaled_w1.5,scaled,Yes,8.0,8.0,True,,9,0,12,2.5e-05,46
baseline,10x10,0.0,bfs,,Yes,18.0,18.0,True,,100,0,0,0.000179,42
baseline,10x10,0.0,astar_zero,zero,Yes,18.0,18.0,True,,100,0,0,0.00027,42
baseline,10x10,0.0,astar_manhattan,manhattan,Yes,18.0,18.0,True,,100,0,0,0.0003,42
baseline,10x10,0.0,astar_inconsistent,inconsistent,Yes,18.0,18.0,True,,100,0,4,0.000331,42
baseline,10x10,0.0,astar_scaled_w1.5,scaled,Yes,18.0,18.0,True,,19,0,27,5.6e-05,42
baseline,10x10,0.0,bfs,,Yes,18.0,18.0,True,,100,0,0,0.000179,43
baseline,10x10,0.0,astar_zero,zero,Yes,18.0,18.0,True,,100,0,0,0.000273,43
baseline,10x10,0.0,astar_manhattan,manhattan,Yes,18.0,18.0,True,,100,0,0,0.000322,43
baseline,10x10,0.0,astar_inconsistent,inconsistent,Yes,18.0,18.0,True,,100,0,4,0.000328,43
baseline,10x10,0.0,astar_scaled_w1.5,scaled,Yes,18.0,18.0,True,,19,0,27,5.5e-05,43
baseline,10x10,0.0,bfs,,Yes,18.0,18.0,True,,100,0,0,0.000178,44
baseline,10x10,0.0,astar_zero,zero,Yes,18.0,18.0,True,,100,0,0,0.000266,44
baseline,10x10,0.0,astar_manhattan,manhattan,Yes,18.0,18.0,True,,100,0,0,0.00034,44
baseline,10x10,0.0,astar_inconsistent,inconsistent,Yes,18.0,18.0,True,,100,0,4,0.000331,44
baseline,10x10,0.0,astar_scaled_w1.5,scaled,Yes,18.0,18.0,True,,19,0,27,5.3e-05,44
baseline,10x10,0.0,bfs,,Yes,18.0,18.0,True,,100,0,0,0.000167,45
baseline,10x10,0.0,astar_zero,zero,Yes,18.0,18.0,True,,100,0,0,0.000251,45
baseline,10x10,0.0,astar_manhattan,manhattan,Yes,18.0,18.0,True,,100,0,0,0.000284,45
baseline,10x10,0.0,astar_inconsistent,inconsistent,Yes,18.0,18.0,True,,100,0,4,0.000336,45
baseline,10x10,0.0,astar_scaled_w1.5,scaled,Yes,18.0,18.0,True,,19,0,27,9.3e-05,45
baseline,10x10,0.0,bfs,,Yes,18.0,18.0,True,,100,0,0,0.00017,46
baseline,10x10,0.0,astar_zero,zero,Yes,18.0,18.0,True,,100,0,0,0.000275,46
baseline,10x10,0.0,astar_manhattan,manhattan,Yes,18.0,18.0,True,,100,0,0,0.000279,46
