Config,Grid Size,Obstacle Density,Algorithm,Found,Path Cost,Nodes Expanded,Time (s),Failure Reason
max_expansions_50,5x5,0.16,astar,Yes,8.0,19,4.4e-05,
time_0.001s,5x5,0.16,bfs,Yes,8.0,21,3.7e-05,
time_0.001s,5x5,0.16,dfs,Yes,8.0,9,1.4e-05,
time_0.001s,5x5,0.16,iddfs,Yes,8.0,367,0.000321,
time_0.001s,5x5,0.16,astar,Yes,8.0,19,4.5e-05,
time_0.002s,5x5,0.16,bfs,Yes,8.0,21,3.7e-05,
time_0.002s,5x5,0.16,dfs,Yes,8.0,9,1.3e-05,
time_0.002s,5x5,0.16,iddfs,Yes,8.0,367,0.000342,
time_0.002s,5x5,0.16,astar,Yes,8.0,19,4.5e-05,
time_0.005s,5x5,0.16,bfs,Yes,8.0,21,3.6e-05,
time_0.005s,5x5,0.16,dfs,Yes,8.0,9,1.3e-05,
time_0.005s,5x5,0.16,iddfs,Yes,8.0,367,0.000333,
time_0.005s,5x5,0.16,astar,Yes,8.0,19,4.5e-05,
time_0.01s,5x5,0.16,bfs,Yes,8.0,21,3.6e-05,
time_0.01s,5x5,0.16,dfs,Yes,8.0,9,1.3e-05,
time_0.01s,5x5,0.16,iddfs,Yes,8.0,367,0.000336,
time_0.01s,5x5,0.16,astar,Yes,8.0,19,4.5e-05,
time_0.1s,5x5,0.16,bfs,Yes,8.0,21,3.6e-05,
time_0.1s,5x5,0.16,dfs,Yes,8.0,9,1.4e-05,
time_0.1s,5x5,0.16,iddfs,Yes,8.0,367,0.000333,
time_0.1s,5x5,0.16,astar,Yes,8.0,19,4.5e-05,
baseline,10x10,0.0,bfs,Yes,18.0,100,0.000166,
baseline,10x10,0.0,dfs,Yes,54.0,55,9.2e-05,
baseline,10x10,0.0,iddfs,Yes,18.0,9728991,7.846859,
baseline,10x10,0.0,astar,Yes,18.0,100,0.000294,
max_depth_5,10x10,0.0,bfs,No,-,21,3.8e-05,depth_limit
max_depth_5,10x10,0.0,dfs,No,-,21,2.5e-05,depth_limit
max_depth_5,10x10,0.0,iddfs,No,-,170,0.000142,depth_limit
max_depth_5,10x10,0.0,astar,No,-,21,4.4e-05,depth_limit
max_expansions_50,10x10,0.0,bfs,No,-,50,8.9e-05,expansion_limit
max_expansions_50,10x10,0.0,dfs,No,-,50,9.5e-05,expansion_limit
max_expansions_50,10x10,0.0,iddfs,No,-,50,4e-05,expansion_limit
max_expansions_50,10x10,0.0,astar,No,-,50,0.000135,expansion_limit
time_0.001s,10x10,0.0,bfs,Yes,18.0,100,0.000169,
time_0.001s,10x10,0.0,dfs,Yes,54.0,55,9.2e-05,
time_0.001s,10x10,0.0,iddfs,No,-,1230,0.001005,time_budget
time_0.001s,10x10,0.0,astar,Yes,18.0,100,0.000272,
time_0.002s,10x10,0.0,bfs,Yes,18.0,100,0.000168,
time_0.002s,10x10,0.0,dfs,Yes,54.0,55,9e-05,
time_0.002s,10x10,0.0,iddfs,No,-,2424,0.002003,time_budget
time_0.002s,10x10,0.0,astar,Yes,18.0,100,0.000266,
time_0.005s,10x10,0.0,bfs,Yes,18.0,100,0.000169,
time_0.005s,10x10,0.0,dfs,Yes,54.0,55,9e-05,
time_0.005s,10x10,0.0,iddfs,No,-,5612,0.005004,time_budget
time_0.005s,10x10,0.0,astar,Yes,18.0,100,0.000274,
time_0.01s,10x10,0.0,bfs,Yes,18.0,100,0.000183,
time_0.01s,10x10,0.0,dfs,Yes,54.0,55,9.2e-05,
time_0.01s,10x10,0.0,iddfs,No,-,11334,0.010005,time_budget
time_0.01s,10x10,0.0,astar,Yes,18.0,100,0.00028,
time_0.1s,10x10,0.0,bfs,Yes,18.0,100,0.000183,
time_0.1s,10x10,0.0,dfs,Yes,54.0,55,9.1e-05,
time_0.1s,10x10,0.0,iddfs,No,-,120230,0.100005,time_budget
time_0.1s,10x10,0.0,astar,Yes,18.0,100,0.000279,
baseline,10x10,0.09,bfs,Yes,18.0,91,0.000158,
baseline,10x10,0.09,dfs,Yes,36.0,37,5.8e-05,
baseline,10x10,0.09,iddfs,Yes,18.0,2163273,1.80041,
baseline,10x10,0.09,astar,Yes,18.0,83,0.000225,
max_depth_5,10x10,0.09,bfs,No,-,17,3.1e-05,depth_limit
max_depth_5,10x10,0.09,dfs,No,-,17,2.7e-05,depth_limit
max_depth_5,10x10,0.09,iddfs,No,-,152,0.000123,depth_limit
